project_ID	projectLocation_ID	precision_code	geoname_ID	placename	latitude	longitude	location_type	R_ID	R_NAME	Z_ID	Z_NAME	D_ID	D_NAME	V_ID	V_NAME
8723893800	8723893800_1283472	2	1283472	Dhading	28	84.91667	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0016	Dhading		
87238963532	87238963532_1283472	2	1283472	Dhading	28	84.91667	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0016	Dhading		
87238963560	87238963560_1283472	2	1283472	Dhading	28	84.91667	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0016	Dhading		
87238963568	87238963568_1283472	2	1283472	Dhading	28	84.91667	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0016	Dhading		
8723896611	8723896611_1283472	2	1283472	Dhading	28	84.91667	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0016	Dhading		
8723896612	8723896612_1283472	2	1283472	Dhading	28	84.91667	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0016	Dhading		
8723896614	8723896614_1283472	2	1283472	Dhading	28	84.91667	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0016	Dhading		
8723896615	8723896615_1283472	2	1283472	Dhading	28	84.91667	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0016	Dhading		
8723896623	8723896623_1283472	2	1283472	Dhading	28	84.91667	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0016	Dhading		
8723896625	8723896625_1283472	2	1283472	Dhading	28	84.91667	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0016	Dhading		
8723896628	8723896628_1283472	2	1283472	Dhading	28	84.91667	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0016	Dhading		
8723896631	8723896631_1283472	2	1283472	Dhading	28	84.91667	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0016	Dhading		
8723896632	8723896632_1283472	2	1283472	Dhading	28	84.91667	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0016	Dhading		
8723896639	8723896639_1283472	2	1283472	Dhading	28	84.91667	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0016	Dhading		
8723898853	8723898853_1283472	2	1283472	Dhading	28	84.91667	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0016	Dhading		
87238113469	87238113469_1282653	1	1282653	Tokha	27.75	85.33333	"populated place"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu	NP-0000-0000-0034-0370	Dhapasi
872381133184	872381133184_1283097	1	1283097	Mahankal	27.76667	85.43333	"populated place"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu	NP-0000-0000-0034-0373	Gagalphedi
8723868184	8723868184_1282644	1	1282644	"Tribhuvan International Airport"	27.69658	85.3591	airport	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu	NP-0000-0000-0034-0385	KathmanduN.P.
8723811542	8723811542_1282682	1	1282682	Thapathali	27.71667	85.31667	"section of populated place"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu	NP-0000-0000-0034-0385	KathmanduN.P.
87238100578	87238100578_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
