PROJECT_ID	GEONAME_ID	precision_code
P045049	7626859	3
P073094	7626859	3
P092217	7626859	3
P094360	7626859	3
P111546	7667644	3
P109683	7668902	3
P111546	7668902	3
P114365	7669163	1
P090644	7701431	3
P116410	7730334	1
P092537	7731903	3
P100620	7731903	3
P118828	7732654	3
P120881	7840035	3
P090644	7873883	3
P096572	7873930	3
P096572	7873936	3
P119737	7910214	3
P096572	7932060	3
P096572	7932084	3
P090644	7932087	3
P096572	7932087	3
P074235	7932431	2
P090644	7932502	3
P088926	8015586	5
P105881	8133376	2
P107847	8133521	4
P110324	8133521	4
P113036	8133521	4
P116742	8133521	4
P118870	8133521	4
P110126	828310	3
P120887	828310	3
P112359	8379588	1
P100047	8556366	1
P106284	8631771	3
P093765	8632050	3
P106284	8632146	3
P090644	8634511	3
P096572	8636069	3
P090644	8637975	3
P096572	8638032	3
P096572	8638158	3
P090644	8638163	3
P096572	8638452	3
P096648	8638546	3
P090867	8643206	4
P109224	8643206	4
P111366	8643206	4
P090644	8659803	3
P118708	8740496	3
P082973	9172344	3
P082973	9172419	3
P051306	9178731	3
P096572	9180446	3
P074850	9485473	3
P106280	9485473	3
P074850	9485476	3
P106280	9485476	3
P094692	9538007	5
P000306	2357048	1
P000306	2362079	1
P000309	2361809	6
P000309	6930704	4
P000309	6930705	4
P000309	6930706	4
P000309	6930710	4
P000309	6930713	4
P000309	6930714	4
P000527	2434508	6
P000968	2294076	4
P000968	2294086	1
P000968	2294234	4
P000968	2294236	1
P000968	2294286	4
P000968	2294291	4
P000968	2294700	1
P000968	2295888	1
P000968	2296406	1
P000968	2296969	1
P000968	2297169	4
P000968	2298724	1
P000968	2299144	1
P000968	2299625	1
P000968	2300569	4
P000968	2300660	6
P000968	2301217	1
P000968	2301360	4
P000968	2302002	1
P000968	2302353	4
P000968	2302547	4
P000968	2303529	1
P000968	2304028	1
P000968	2304116	4
P000968	2304693	1
P000968	2305884	1
P001001	2372248	6
P001177	2287781	6
P001177	2288115	1
P001177	2290462	1
P001177	2291136	1
P001748	2453866	8
P001785	1024292	1
P001785	1024312	4
P001785	1024688	1
P001785	1026010	4
P001785	1026804	4
P001785	1031835	1
P001785	1033354	4
P001785	1033828	1
P001785	1035175	1
P001785	1038879	3
P001785	1039536	1
P001785	1040649	4
P001785	1040652	1
P001785	1040947	4
P001785	1040989	1
P001785	1045110	4
P001785	1045289	1
P001785	1046058	4
P001785	1052944	1
P001785	1090080	3
P001785	1105527	1
P001785	7646374	3
P001785	7873985	3
P001785	7874406	3
P001785	7909714	3
P001785	7909715	3
P001785	8693192	3
P001785	9072735	3
P001806	1024552	1
P001806	1024696	1
P001806	1028434	1
P001806	1028918	1
P001806	1033356	1
P001806	1035025	1
P001806	1036973	6
P001806	1039854	1
P001806	1040652	1
P001806	1040989	1
P001806	1043893	1
P001806	1052373	1
P001807	1024062	3
P001807	1024312	4
P001807	1026010	4
P001807	1026804	4
P001807	1035304	3
P001807	1037018	3
P001807	1037109	3
P001807	1037394	3
P001807	1040396	3
P001807	1040587	3
P001807	1040649	4
P001807	1040947	4
P001807	1040948	3
P001807	1041912	3
P001807	1042871	3
P001807	1045351	3
P001807	1045789	3
P001807	1049181	3
P001807	1051852	3
P001807	1052446	3
P001807	1052937	3
P001807	1053142	3
P001807	1090080	3
P001807	7646374	3
P001807	7670758	3
P001807	7873976	3
P001807	7873980	3
P001807	7873983	3
P001807	7873984	3
P001807	7873985	3
P001807	7873986	3
P001807	7873991	3
P001807	7873993	3
P001807	7874045	3
P001807	7874046	3
P001807	7874106	3
P001807	7874404	3
P001807	7874472	3
P001807	7874474	3
P001807	7874614	3
P001807	7874620	3
P001807	7874622	3
P001807	7874624	3
P001807	7874708	3
P001807	7874710	3
P001807	7874711	3
P001807	7874712	3
P001807	7874724	3
P001807	7874725	3
P001807	7874726	3
P001807	7880951	3
P001807	7905000	3
P001807	7905199	3
P001807	7905529	3
P001807	7909704	3
P001807	7909768	3
P001807	7909770	3
P001807	7909828	3
P001807	8301113	3
P001807	8693192	3
P001807	8714615	3
P001808	1024312	4
P001808	1026010	4
P001808	1033354	4
P001808	1033356	1
P001808	1036973	8
P001808	1038896	1
P001808	1040649	4
P001808	1040652	1
P001808	1040947	4
P001808	1042256	1
P001808	1045110	4
P001808	1046058	4
P001808	1049858	3
P001808	1050368	1
P001808	1051823	4
P001808	7874018	3
P001808	7874115	3
P001808	9072728	1
P002797	149070	1
P002797	149358	1
P002797	149590	6
P002797	149776	5
P002797	149791	1
P002797	150487	3
P002797	157253	3
P002797	157377	1
P002797	157379	1
P002797	157383	3
P002797	157977	1
P002797	159239	3
P002797	159242	1
P002797	160260	4
P002797	160263	1
P002797	7840038	3
P002797	9072680	2
P002797	9072682	1
P002822	149590	8
P002952	234411	3
P002952	443327	3
P002952	443328	3
P002952	443331	3
P002952	443346	3
P002952	443347	3
P002952	443348	3
P002952	443349	3
P002952	443356	3
P002952	443357	3
P002952	443360	3
P002952	443362	3
P002952	443365	3
P002952	443782	3
P002952	443785	3
P002952	448215	3
P002952	448221	3
P002952	448222	3
P002952	448225	3
P002952	7056273	3
P002952	7056275	3
P002952	7056276	3
P002952	7056278	3
P002952	7056279	3
P002952	7056283	3
P002952	7056286	3
P002952	7056289	3
P002952	7056295	3
P002952	7869939	3
P002952	8030560	3
P002952	8030561	3
P002952	8030562	3
P002952	8030563	3
P002952	8030565	3
P002952	8030566	3
P002952	8030567	3
P002952	8030568	3
P002952	8030569	3
P002952	8030570	3
P002952	8030572	3
P002984	232422	1
P002984	8604719	1
P003227	7671220	3
P003227	8285556	3
P003227	8285557	3
P003227	8714549	3
P003227	895909	1
P003227	895949	6
P003227	898909	3
P003227	899859	1
P003227	901339	3
P003227	901344	1
P003227	905389	3
P003227	905395	1
P003227	906042	3
P003227	906044	1
P003227	907108	3
P003227	907111	1
P003227	907452	1
P003227	908534	1
P003227	909134	3
P003227	909857	3
P003227	909863	1
P003227	910107	3
P003227	910111	1
P003227	911144	3
P003227	911148	1
P003227	912036	1
P003227	912820	1
P003227	913029	1
P003227	914956	3
P003227	914959	1
P003227	915082	3
P003227	915086	1
P003227	915883	1
P003227	916082	3
P003227	917743	3
P003227	917748	1
P003227	918385	1
P003227	919006	3
P003227	919009	1
P003227	922245	1
P003248	895949	6
P004397	2083546	4
P004397	2083819	1
P004397	2085422	1
P004397	2087633	3
P004397	2087893	3
P004397	2088161	3
P004397	2088163	1
P004397	2088179	1
P004397	2088628	8
P004397	2089300	2
P004397	2089478	4
P004397	2090288	1
P004397	2090468	4
P004397	2090910	2
P004397	2090950	3
P004397	2091232	1
P004397	2091495	4
P004397	2091497	3
P004397	2091756	1
P004397	2092651	1
P004397	2093427	1
P004397	2093683	3
P004397	2093727	1
P004397	2093967	1
P004397	2095012	3
P004397	2096037	2
P004397	2096633	4
P004397	2097853	4
P004397	2099613	1
P004397	2100468	1
P004397	2100536	1
P004397	2101038	1
P004397	2101332	1
P004397	2133105	1
P004397	2133763	4
P004397	2134008	3
P004397	7648911	1
P004397	7648913	1
P004397	7668019	3
P004397	7668035	3
P004397	7668036	3
P004397	7668037	3
P004850	1562822	8
P005516	2542007	8
P005750	2464461	6
P005906	6201193	4
P005906	6201194	4
P005906	6201195	4
P005906	6201196	4
P005906	6201197	4
P005906	69543	6
P005906	80425	4
P005906	8735269	2
P005906	8735409	2
P006043	3434137	4
P006043	3435214	4
P006043	3833578	4
P006043	3837029	4
P006043	3838830	4
P006043	3844419	4
P006043	3853404	4
P006043	3861244	4
P006449	3386357	5
P006449	3388725	2
P006449	3389385	3
P006449	3390433	2
P006449	3391418	3
P006449	3394188	5
P006449	3394754	3
P006449	3395448	3
P006449	3396018	3
P006449	3396655	2
P006449	3397146	3
P006449	3397572	3
P006449	3397668	5
P006449	3397909	1
P006449	3399415	2
P006449	3401544	3
P006449	3401727	5
P006449	3402362	4
P006449	3402447	5
P006449	3403145	3
P006449	3405952	5
P006449	3406132	5
P006449	3406144	1
P006449	3406441	3
P006449	3407234	5
P006449	3407247	2
P006449	6319727	3
P006449	6320043	3
P006449	6320050	3
P006449	6320062	3
P006449	6320089	3
P006449	6324294	3
P006449	6324296	3
P006449	6324298	3
P006553	3446537	5
P006553	3448433	4
P007077	3650380	1
P007077	3650445	4
P007077	3652108	3
P007077	3652572	3
P007077	3652683	3
P007077	3652720	1
P007077	3652785	3
P007077	3653158	3
P007077	3653692	3
P007077	3654592	4
P007077	3654910	1
P007077	3655635	4
P007077	3655848	1
P007077	3657129	1
P007077	3657508	3
P007077	3657509	1
P007077	3658121	1
P007077	3658195	4
P007077	3658766	4
P007077	3658915	1
P007077	3658919	3
P007077	3659237	4
P007077	3660130	4
P007077	3660343	3
P007077	3660634	1
P007077	9155660	3
P007397	3608932	6
P008284	143105	5
P008284	146879	4
P008284	147287	4
P008284	147983	4
P008284	305419	5
P008284	585149	5
P008284	585749	4
P008284	585786	4
P008284	586000	5
P008284	586001	4
P008284	587081	4
P008284	587116	6
P008286	146879	4
P008286	147284	4
P008286	147287	4
P008286	147429	1
P008286	147983	4
P008286	147997	3
P008286	148330	2
P008286	148615	4
P008286	584583	4
P008286	585786	4
P008286	586001	4
P008286	586112	4
P008286	587084	1
P008286	7669114	3
P008314	727011	1
P008314	728330	1
P008615	3082227	5
P008615	3083829	1
P008615	3083955	1
P008615	3089178	5
P008615	3098444	5
P008615	3099424	1
P008615	3099434	1
P008615	7530749	3
P008615	7530840	3
P008783	665091	4
P008783	665283	4
P008783	665849	4
P008783	667267	4
P008783	669737	4
P008783	670938	1
P008783	671857	4
P008783	672460	4
P008783	673612	4
P008783	673887	4
P008783	675809	4
P008783	675917	4
P008783	677692	4
P008783	679385	4
P008783	679452	1
P008783	681291	4
P008783	682714	4
P008783	683016	4
P008783	683121	4
P008783	683504	4
P008783	683843	4
P008783	683901	4
P008783	684038	4
P008783	684647	4
P008783	685947	4
P008783	686192	4
P008783	686581	4
P008783	798549	6
P008791	798549	8
P008797	664517	4
P008797	676309	4
P008797	679134	4
P008797	680428	4
P008797	684038	4
P008797	686192	4
P008797	798549	6
P008832	1489530	1
P008832	1504682	1
P008832	2017370	6
P008832	2019528	1
P008832	471430	1
P008832	472459	1
P008832	472722	1
P008832	491422	1
P008832	504341	1
P008832	509820	1
P008832	511794	1
P008832	515012	1
P008832	562237	1
P008832	569696	1
P008832	580497	1
P008860	1220409	6
P009127	1512534	3
P009127	1512698	3
P009127	1514037	3
P009127	1514386	3
P009127	453752	4
P009972	1253405	1
P009972	1253407	3
P009972	1256324	1
P009972	1256572	1
P009972	1257086	1
P009972	1258074	3
P009972	1262917	1
P009972	1267190	1
P009972	1267997	3
P009972	1269750	8
P009972	1270165	3
P009972	1270437	1
P009972	1270908	1
P009972	1271440	3
P009972	1271912	1
P009972	1271920	3
P009972	1272980	3
P009972	1273309	1
P009972	1277148	1
P009972	1278148	1
P009972	1278150	3
P009972	1278995	3
P009972	7729747	3
P009972	7729751	3
P009972	9072745	1
P009972	9072816	1
P009972	9072818	1
P009972	9072820	1
P010505	1254242	3
P010505	1258899	4
P010505	1269028	3
P010505	1273894	3
P010505	7701203	3
P010505	7701204	3
P010505	7701212	3
P010505	7701213	3
P010556	1164807	4
P010556	1166993	1
P010556	1167710	4
P010556	1168197	1
P010556	1168873	4
P010556	1169607	1
P010556	1172451	1
P010556	1174872	1
P010556	1176734	1
P010556	1177662	1
P010556	1179245	4
P010556	1184196	4
P010566	1252901	1
P010566	1253143	1
P010566	1253573	1
P010566	1253574	3
P010566	1255350	3
P010566	1255364	1
P010566	1255365	3
P010566	1257149	1
P010566	1257568	1
P010566	1257922	3
P010566	1258847	1
P010566	1258849	3
P010566	1260571	3
P010566	1260777	1
P010566	1261050	1
P010566	1261653	1
P010566	1262775	1
P010566	1264389	1
P010566	1264390	3
P010566	1264505	1
P010566	1266810	3
P010566	1267091	1
P010566	1268773	1
P010566	1268774	3
P010566	1269065	1
P010566	1269317	1
P010566	1269318	3
P010566	1269350	1
P010566	1270466	1
P010566	1270474	1
P010566	1271107	1
P010566	1272699	1
P010566	1272701	1
P010566	1272733	1
P010566	1273665	1
P010566	1273703	1
P010566	1276100	1
P010566	1276101	3
P010566	1277417	3
P010566	1279234	3
P010566	7627238	3
P010566	9072777	1
P010566	9072779	1
P010566	9072810	1
P010566	9072819	1
P010566	9072825	3
P010566	9165958	1
P034038	266923	1
P034038	270220	1
P034038	272103	8
P034038	273535	1
P034038	275739	1
P034038	276125	1
P034038	276780	4
P034038	276781	1
P034038	277225	3
P034038	277226	1
P034038	278139	1
P034038	278159	1
P034038	278792	1
P034038	279422	1
P034038	279854	1
P034038	280424	3
P034038	280740	1
P034038	6273709	1
P034038	6274905	1
P034038	7838966	5
P034038	7838967	3
P034038	7838968	1
P034038	7838974	1
P034038	7838976	1
P034038	7838977	1
P034038	7838979	1
P034038	7838980	1
P034038	7838981	1
P034038	7838983	1
P034038	7838984	1
P034038	7838988	1
P034038	7838991	1
P034038	7838994	1
P034038	7838998	1
P034038	7838999	1
P034038	7839002	1
P034154	330546	1
P034154	335005	2
P034154	343378	1
P035172	1253405	1
P035172	1253626	4
P035172	1262332	1
P035172	1263214	1
P035172	1264733	1
P035172	1271308	1
P035172	1278994	1
P035173	1252432	1
P035173	1252881	4
P035173	1253160	1
P035173	1253407	3
P035173	1253626	4
P035173	1253747	1
P035173	1253748	3
P035173	1253944	1
P035173	1255053	1
P035173	1255143	1
P035173	1256525	1
P035173	1257086	1
P035173	1257629	1
P035173	1257630	3
P035173	1258074	3
P035173	1259012	1
P035173	1259013	3
P035173	1259168	3
P035173	1259223	4
P035173	1260086	1
P035173	1260607	1
P035173	1260793	1
P035173	1261481	1
P035173	1261539	1
P035173	1262081	3
P035173	1262330	1
P035173	1262331	3
P035173	1262951	1
P035173	1264527	1
P035173	1264733	1
P035173	1264734	3
P035173	1265492	3
P035173	1266305	1
P035173	1266306	3
P035173	1269065	1
P035173	1269633	1
P035173	1269743	1
P035173	1269934	1
P035173	1270210	1
P035173	1270396	1
P035173	1270927	1
P035173	1270930	3
P035173	1270974	1
P035173	1271631	1
P035173	1271715	1
P035173	1272175	1
P035173	1272848	3
P035173	1273196	3
P035173	1273293	4
P035173	1273294	1
P035173	1273309	1
P035173	1273492	3
P035173	1273724	1
P035173	1273800	1
P035173	1273801	3
P035173	1273866	3
P035173	1275004	1
P035173	1275339	1
P035173	1275715	4
P035173	1275716	1
P035173	1275817	1
P035173	1275841	1
P035173	1275971	1
P035173	1277013	1
P035173	1277331	3
P035173	1277332	3
P035173	1277558	1
P035173	1278673	3
P035173	1278994	1
P035173	1278995	3
P035173	1337279	4
P035173	6620016	1
P035173	7302833	1
P035173	7627223	3
P035173	7645159	1
P035173	7646145	3
P035173	8223995	3
P035173	8407028	3
P035173	8740934	3
P035173	8986057	3
P035173	9072745	3
P035173	9072784	3
P035173	9072801	1
P035173	9072803	1
P035173	9072807	1
P035173	9072811	3
P035173	9072869	1
P035173	9072872	1
P035173	9072875	1
P035173	9148987	1
P035173	9148988	3
P035173	9148990	1
P035173	9155066	1
P035173	9156507	1
P035173	9157653	3
P035173	9161141	1
P035581	2378080	6
P035630	2451184	4
P035630	2451477	4
P035630	2453347	4
P035630	2453866	6
P035630	2454532	4
P035630	2460594	4
P035637	2403846	8
P035655	2287781	6
P035672	2426370	1
P035672	2426906	1
P035672	2427123	1
P035672	2427637	1
P035672	2428132	4
P035672	2428450	1
P035672	2428480	1
P035672	2430781	1
P035672	2431555	4
P035672	2431573	1
P035672	2432451	1
P035672	2433630	1
P035672	2434478	4
P035672	2434508	8
P035672	2434985	1
P035672	2435124	1
P035672	2435899	4
P035672	6842262	1
P035672	7603251	4
P035673	2361809	6
P035707	2464461	6
P035740	3936456	1
P035740	3946083	1
P035740	8349600	3
P035740	8349601	3
P035740	8349621	2
P035740	8350125	2
P035751	3520887	4
P035751	3522509	4
P035751	3527213	4
P035751	3995955	4
P035751	4004156	4
P035751	4011741	4
P035752	3996063	6
P035775	453733	8
P035775	587450	1
P035775	588335	1
P035775	588754	1
P035775	589115	4
P035775	590333	1
P035775	590447	1
P035775	590842	1
P035775	591078	1
P035775	591624	1
P035775	591672	1
P035775	592381	1
P035775	592437	1
P035775	592619	1
P035775	592639	1
P035775	7522281	3
P035775	7522294	3
P035775	7522295	3
P035775	7522313	3
P035775	7522317	3
P035775	7522320	3
P035775	7522323	3
P035775	7522329	3
P035775	7522343	3
P035775	7522367	3
P035775	7522382	3
P035775	7522384	3
P035775	7522385	3
P035775	7522400	3
P035775	7522432	3
P035775	7522434	3
P035775	7522456	3
P035775	7522473	3
P035775	7522475	3
P035775	7522483	3
P035775	7522484	3
P035775	794042	1
P035775	794043	1
P035775	794072	1
P035775	794248	1
P035775	9165990	1
P035776	598098	1
P035777	690791	6
P035777	698740	1
P035777	702550	1
P035777	703448	1
P035777	706483	1
P035786	702550	1
P035810	1527747	8
P036977	1527297	4
P036977	1527590	4
P036977	1528260	4
P037339	7531507	2
P037339	7531513	2
P037339	7531516	2
P037339	7531523	2
P037339	7532197	2
P037339	7532414	2
P037339	776433	1
P037339	776433	6
