PROJECT_ID	GEONAME_ID	precision_code
P087347	1024694	1
P074235	1053384	5
P074235	1055429	5
P074235	1062663	5
P074235	1064890	5
P074086	1069129	5
P074235	1069129	5
P074086	1070940	5
P074235	1070940	5
P122235	1125426	3
P074841	1185252	1
P120836	1275540	3
P100668	148330	1
P055120	149659	1
P046043	1538258	3
P089479	1637366	3
P118494	1652080	3
P094063	1694584	3
P110173	178147	1
P096556	1786217	1
P096367	178837	3
P111545	178837	3
P096367	179068	3
P111545	179068	3
P124109	179068	3
P096367	179328	3
P111545	179328	3
P096367	179330	3
P069862	1804161	3
P111545	180782	3
P111545	185578	3
P096367	186298	3
P096367	190106	3
P124109	190106	3
P111545	191037	3
P095050	191421	5
P112359	1920293	1
P096367	192064	3
P111545	192064	3
P096367	192709	3
P074106	195271	3
P096367	195271	3
P111545	195271	3
P115247	195271	3
P124109	195271	3
P111545	196228	3
P096367	197744	3
P109683	197744	3
P111545	198474	3
P103037	199247	4
P074106	200066	3
P096367	200066	3
P124109	200066	3
P071062	224995	1
P084022	2251492	1
P050620	2296181	1
P095949	2440482	3
P070958	250799	1
P081823	250799	1
P069124	2529647	3
P096572	2595348	4
P093610	2782064	3
P102000	2782064	3
P113032	331677	3
P045499	361058	1
P051306	3666941	3
P074106	383388	3
P068968	3901178	1
P095050	400745	4
P096931	4032231	4
P064876	423145	1
P064876	423831	1
P064876	423914	1
P064876	424024	1
P064876	426436	1
P064876	432619	1
P074106	443784	3
P096367	443784	3
P087734	448917	2
P100582	585383	1
P125741	585383	1
P069293	586087	4
P110126	610823	3
P120887	610823	3
P112523	611403	1
P086277	611668	3
P117152	611668	3
P120887	611668	3
P120887	611681	3
P086277	613607	1
P083110	614003	3
P120887	614003	3
P120887	614130	3
P110126	614450	3
P112523	614450	3
P120887	614450	3
P118375	622968	3
P101201	6297293	1
P106200	6297307	1
P096931	6299949	1
P094063	6569475	3
P096207	701822	2
P102288	7052684	3
P118828	7052684	3
P122235	7053957	3
P102288	7053962	3
P102288	7053972	3
P118828	7053972	3
P122235	7053972	3
P102288	7053973	3
P083742	7057508	3
P079661	7290466	3
P079935	7290466	3
P112998	7303940	4
P087004	7602872	4
P110773	7602872	4
P109683	7603036	3
P111545	7603036	3
